|CROP NAME|GENERAL INFORMATION|SOIL INFORMATION
29|Groundnut is the third most important oilseed of world. In India, it is available throughout the year. It is important source of protein grown mostly under rain-fed conditions. In India, Uttar Pradesh, Madhya Pradesh, Rajasthan, Gujarat, Maharashtra, Karnataka, Andhra Pradesh and Tamil Nadu are major groundnut growing states.||Groundnut is raised in a sandy loam as well as well drained sandy clay loam soil. Deep well- drained soil with pH of 6.5 -7 as well as having great fertility are perfect for groundnut cultivation. Spanish as well as Runner varieties are beneficial for good quality soil compared to the Virginia forms. The lack of pods is often rich in heavier grounds. An excellent climatic condition for better germination of groundnut is 31° C. Heavy and stiff clays are unsuitable for groundnut cultivation as the pod development is hampered in these soils.
30| LINSEED/ FLAX  | Linseed (Linum usitatissimum). In India, it can be cultivated largely for seed meant for eliminating oil. The oil amount of the seed differs from 33-47%. Linseed lubricate is a superb drying lubricant used for processing paints as well as varnishes, oil cloth, water-resistant fabric and even linoleum also like an edible lubricant in certain zones . Linseed-cake is certainly a fine manure as well as livestock feed. Linseed can be used for making papers and also plastics.|
31| MUSTARD   |India is fourth largest contributor of oilseeds and Rapeseed and mustard contributes about 28.6% in total oilseeds production. After soybean and palm oil, it is third important oilseed in world. Mustard seeds and its oil is used for culinary purpose. Young leaves are used for vegetable purpose. Its oil cake is used for feeding cattle.|Mustard-rapeseed groups includes Indian mustard, Brown and yellow sarson, raya and toria crop. Indian mustard is grown in Rajasthan, Madhya Pradesh, UP, Haryana and Gujarat also in some areas of south like Andra Pradesh, Karnataka and Tamil Nadu. Yellow sarson is taken as rabi crop in Assam, Bihar, Orissa and West Bengal where as in Punjab, Haryana, UP and Himachal Pradesh it is taken as catch crop. Earlier brown sarson was cultivated in most of the area now its area under cultivation is decreases and replaced by Indian mustard. Brown sarson has two ecotypes Lotni and Toria. Toria is short duration crop sown under irrigated condition. Gobhi sarson is new emerging oilseed, it is long duration crop grown in Haryana, Punjab, and Himachal Pradesh.
32| SAFFLOWER   |"Safflower is commonly known as ""khusambha, kusum"" are oldest cultivated oilseed which contain 24-36% oil. Safflower is largely used for cooking purposes. Its decorticated cake is utilized for feeding cattle."|Safflower is grown on maximum variety of soil. It is well grown in drained sandy loam soil and the soil which is rich in organic matter.
33| SOYBEAN   |Soybean called as golden beans is belongs to legume family. It is native of East Asia. It is a rich source of Protein also excellent source of fibre. Oil extracted from soybean contain small amount of saturated fat. In Punjab, it plays an important role in crop diversification.      |It gives good result, when grown on well drained, fertile loamy soils. pH of 6 to 7.5 is favourable for optimum yield of soybean. Water logged, saline/alkaline soils are not suitable for its cultivation. Low temperature affect crop severely.
34| SUNFLOWER   |"Sunflower, the name ""Helianthus"" is derived from ‘Helios’ meaning ‘sun’ and ‘anthus’ meaning ‘flower’. It called as sunflower as it follow the sun, always turning toward its direct rays. It is important oilseed crop of country. Sunflower oil is most popular because of its light color, bland flavour, high smoke point and high level of linoleic acid which is good for heart patient. Sunflower seed contains about 48– 53 percent edible oil."|It can be grown on wide range of soil from sandy loam to black soils. It gives best result when grown under fertile, well-drained soil. It can tolerate slight alkaline soil. Avoid sowing in acidic also waterlogging soil. Ideal pH is around 6.5-8. Crop rotation follows in Punjab, Rice/Maize - Potato-Sunflower, Rice-Toria-Sunflower, Cotton-sunflower, Sugarcane-sugarcane ratoon-sunflower and kharif-fodder - toria-sunflower.
35| SUNFLOWER   ||
36|  LENTIL (MASUR)   | It is one of the most important protein rich pulse crop. It is mostly eaten as Dal by splitting into 2 cotyledons, deep orange red or orange yellow in color. Whole grain is also used in various dishes. Lentil also provide a source of starch for textiles and printing. It is mixed with wheat flour in bread and cake production. India is the highest producer of lentil in the world.| Lentil can be grown on all type of soil. Saline, Alkaline or waterlogged soils should be avoided. Soil should be friable and weed free so that seed could be placed at uniform depth.
37|CSJ 515: Suitable under irrigated condition, seeds are small and are of brown colour weight 17 gm/100 seed. It is moderately resistant to dry root rot, and tolerant to ascochyta blight. Gets mature in 135 days. And gives average yield of 7 qtl/acre.||
38|BG 1053: It is a Kabuli variety. It is early in flowering and matures in 155 days. Seeds are creamy white and bold in size. Gives Average yield of 8 qtl/acre. Suitable for cultivation for throughout state under irrigated condition.||
39|L 550: Kabuli variety. Semi spreading and early flowering variety. Matures in 160 days. Seeds are of creamy white color. It gives average yield of 6 qtl/acre.||
40|L 551: It is kabuli variety. It is resistant to wilt disease. Ready to harvest in 135-140 days. It gives average yield of 6-8 qtl/acre.||
41|GNG 1958: Cultivated under irrigated areas also suitable for normal sown irrigated condition. It has brown seed colour. Ready to harvest in 145 days. Gives average yield of 8-10 qtl/acre.||
42|GNG 1969: Cultivated under irrigated areas also suitable for normal sown irrigated condition. It possess creamy beige seed colour. Ready to harvest in 146 days. Gives average yield of 9 qtl/acre.||
43|GLK 28127: Suitable for cultivation under irrigated areas, seeds are of large size with light yellow or creamy colour with irregular owl head. Ready to harvest in 149 days. Gives average yield of 8 qtl/acre. ||
44|GPF2: The plants are tall with erect growth habit. It is highly resistive to Ascochyta blight and will complex. It gets matures in about 165 days. It gives average yield of 7.6 qtl/acre.||
45|Aadhar (RSG-963): It is moderately resistant to Wilt, dry root rot, B.G.M and Collor rot, pod borer, & Nematodes. Ready to harvest in 125-130 days. Gives average yield of 6 qtl/acre.||
46|Anubhav (RSG 888): Suitable for cultivation in rainfed area. It is moderately resistant to wilt and root rot. Ready to harvest in 130-135 days. Gives average yield of 9 qtl/acre.||
47|Pusa Chamatkar: Kabuli variety. It is tolerant to wilt. Ready to harvest in 140-150 days. It gives average yield of 7.5 qtl/acre. ||
48|Other States Variety||
49|C 235: Ready to harvest in 145-150 days. It is tolerant to stem rot and blight disease. Grains are of medium and yellowish brown color. Gives average yield of 8.4-10 qtl/acre.||
50|G 24: Semi-spreading variety, suitable for rainfed conditions. Ready to harvest in 140-145 days. Gives average yield of 10-12 qtl/acre.   ||
51|G 130: Medium duration variety. Gives average yield of 8-12 qtl/acre. ||
52|Pant G 114: Ready to harvest in 150 days. It is resistant to blight. It give average yield of 12-14 qtl/acre. ||
53|C 104: Kabuli gram varieties, Suitable for Punjab and Uttar Pradesh. Gives average yield of 6-8 qtl/acre.||
54|Pusa 209: Ready to harvest in 140-165 days. Gives average yield of 10-12 qtl/acre.||
55| GREEN GRAM(MOONG)   |Green gram also known as moong is one of the main pulse crop of India. It is a rich source of Protein along with fibre and iron. It can be cultivated as Kharif as well as summer crop. In Punjab, near about 5.2 thousand hectares of area is under moong cultivation with total production of 4.5 thousand tones (2012-2013).|It can be cultivated on wide range of soil. Gives best result when grown on well drained loamy to sandy-loam soils. Saline and water logged soils are not suitable for cultivation.
56| KIDNEY BEAN (RAJMA)   |Kidney beans is also known as the chilli bean because of its dark red color and the visually resemblance the shape of a kidney. Kidney beans are a good source of protein also it is excellent source of molybdenum. It contain good source of cholesterol-lowering fibre. Rajma is a popular dish from the North Indian cuisine made from red kidney beans. Maharashtra, Jammu and Kashmir, Himachal Pradesh, Uttarakhand, West Bengal, Uttar Pradesh, Tamil Nadu, Kerala and Karnataka are major kidney bean growing states in India.| It can be grown on wide range of soils from light sandy to heavy clay soils. Well drained loamy soil is good for kidney beans cultivation. It is very sensitive to saline soils. Gives best result when pH of soil is 5.5 to 6.
57| MASH (URD)  |It is one of the most important pulse crops of India. It is rich source of protein and phosphoric acid. It is used as dal and it is important ingredient of breakfast. In India, major mash areas are Madhya Pradesh, Uttar Pradesh, Punjab, Maharashtra, West Bengal, Andhra Pradesh and Karnataka. In Punjab, it is cultivated on 2.2 thousand hectares (2012-13).| Saline - alkaline soil, also waterlogged soils are not suitable for mash cultivation. For good growth, it required stiff loamy or heavy soils with good water retentive capacity.
58| PIGEON PEA (TUR)   |It is a popular pulses crop and it is rich source of Protein. It is cultivated in tropical and semitropical regions. It is important legumes crop of rain fed and semi-arid tropics and it can grow as single crop or intermixed with cereals. It enriches soil through symbiotic nitrogen fixation. Andhra Pradesh, Gujarat, Karnataka, Madhya Pradesh, Maharashtra and Uttar Pradesh are major Pigeon pea producing states in India.|It grows on variety of soil. It gives best result on fertile and well drained loamy soils. The saline-alkaline or waterlogged soils are unfit for its cultivation. It can grow successfully on soils having pH ranges from 6.5 to 7.5.
59| ||
60| RICEBEAN   ||
61| SUGARCANE    |Sugarcane, Saccharum officinarum L. is a perennial gras. It belongs to bamboo family and it is indigenous to India. It is the main source of sugar, jaggery and khandsari. About two-thirds of the total sugarcane produced in India is consumed for making jaggery and khandsari and only one third of it goes to sugar factories. It also provides raw material for manufacturing alcohol. Brazil is largest producer of sugarcane followed by India, China, Thailand, Pakistan and Mexico. In India, Maharashtra is largest producer of sugar and it contributes about 34% of sugar in country followed by Uttar Pradesh.|Well drained, deep, loamy soil with ground water table below 1.5-2 m from the soil surface with adequate water holding capacity is ideal for sugarcane cultivation. It can tolerate considerable degree of acidity and alkalinity so it can be grown on soil, ranging from 5 to 8.5. If soil is low in pH (less than 5) add lime in soil and for high pH (more than 9.5) do gypsum application.
62| SUGARCANE    ||
63| SUGARCANE    ||
64| LEMON    |Citrus is an important fruit crop. Lemon is one of the important category of citrus. It is mainly known for its pulp and juice throughout the world. Different citrus fruits are used throughout the world as food or juice. In central India, Nagpur santra is grown on a large scale. Mandarin Production states are Assam, Dibrugarh and Brahmaputra valley. In India Citrus cultivation is done on an area of about 923 thousand hectare with annual production of 8608 thousand metric tons. In Punjab citrus is grown on 39.20 hectares of land.|Lemons can be grown in all types of soils. Light soils having good drainage are suitable for its cultivation. PH range of soil should be 5.5-7.5. They can also grow in slightly alkaline and acidic soils. Light loam well drained soils are best for lemon cultivation.
65| LIME (NIMBOO)   |Citrus is an important fruit crop. Lime is one of them. It is mainly known for its pulp and juice throughout the world. Different citrus fruits are used throughout the world as food or juice. In central India, Nagpur santra is grown on a large scale. Mandarin Production states are Assam, Dibrugarh and Brahmaputra valley. In India Citrus cultivation is done on an area of about 923 thousand hectare with annual production of 8608 thousand metric tons. In Punjab citrus is grown on 39.20 hectares of land. Kinnow is produced on nearly 55% of total area under citrus.|Citrus can grow in all types of soils. Light Soils having good drainage are suitable for its cultivation. pH range of soil should be 5.5-7.5. They can also grow in slightly alkaline and acidic soils. Light loam well drained soils are best for citrus cultivation.
66| LIME (NIMBOO)   ||
67| CARNATION  |Carnations are most important cut flowers of world. Most preferred flower for commercial purpose because of their excellent keeping quality, withstand in long distance transportation and remarkable quality to rehydrate. Europe and USA cultivated this crop on large area where as in India it is cultivated on smaller scale. Himachal Pradesh, Punjab, West Bengal, Jammu and Kashmir and Karnataka are major carnation producing states. Flowers come in different shades such as yellow, pink, lavender etc.|It can be grown on any type of soil but soil with good drainage capacity gives best results. Rich sandy loam or loamy sand is most ideal soil for carnation cultivation. pH of soil for optimum growth of crop is about 5.5 to 6.5.
68| CHRYSANTHEMUM   |It is an important flower crop grown all over the world. It gives more yields when grown in greenhouse. It belongs to “Compositae” family. In India, the commercial cultivation of Chrysanthemum is done because of its good demand. Flowers are mainly used for as cut flowers for party arrangements, religious offerings and garland making. It is an herbaceous perennial plant which attains the height of 50-150cm. Chrysanthemum farming is commercially done in Karnataka, Tamil Nadu, Punjab and Maharashtra.|Red loamy soil having well drainage system is good for Chrysanthemum farming. Soil having pH ranging from 6-7 is good for cultivation.
69| GERBERA   |Gerbera is also known as “Transwal Daisy” or “African Daisy”. It is an ornamental flowering plant. It belongs to compositae family. Maharashtra, Uttaranchal, Arunachal Pradesh, Punjab, Uttar Pradesh, West Bengal, Orissa, Karnataka and Gujarat are the major Gerbera cut flowers growing states in India. In Punjab, gerbera farming is mainly done in polyhouse.|Light soil having good drainage system is suitable for gerbera plantation. Red lateritic soils are best for the cultivation of Gerbera. 5.0-7.2 pH range is suitable for gerbera plantation.
70| GLADIOLUS   |Gladiolus flowers are liked by the people all over the world. It is a perennial flowering plant which has sword shape leaves, funnel shaped perianth and spoon shaped branches. The flowers bloom mainly in the month of October-March. It produces wide range of flower color ranging from pink to reddish, light purple to white, or white to cream or orange to red. It is also used to cure various ailments or diseases such as common cold, diarrhoea, fungal infections, and meningitis and to get relieve from constipation. Punjab, Haryana, Andhra Pradesh, Uttar Pradesh and Maharashtra are the major growing states in India.|It gives best result when grown under loamy soil which has good fertility and has good drainage system. Avoid cultivation in heavy sticky and acidic soils and avoid water logging conditions in the field. It requires pH of around 7.
71| JASMINE   |It is an important flower crop which is grown throughout India on commercial scale. It attains the height of 10-15 feet. It has evergreen leaves which are two and a half inches long, green and slender stems and it bears white color flowers. The flowers mainly bloom in the month of March to June. It is mainly used for making garland, for floral decoration and to worship god. Because of its strong and scented fragrance, it is also used to make perfumes and to add fragrances in soaps, creams, oil, shampoo and washing detergents. Punjab, Andhra Pradesh, Tamil Nadu and Hyderabad are the major growing states in India.   |It is grown in variety of soil types ranging from well drained clayey soil to sandy loam soils which is rich in organic matter. However it gives best result when grown in rich sandy loam soil having good drainage system. For best results mix FYM in the soil in adequate quantity. For better plantation, soil pH must not be more than 6.5.
72| MARIGOLD   |It is a common grown flower of India. It is very important flower, as it extensively used on religious and social function. Also it is used as trap crop. As it is short duration crop with low investment, it becomes popular crop of India. Marigold flowers are attractive in shape and color. It is widely adopted because of ease of cultivation. On basis of size and color, it has two main varieties, African Marigold and French marigold. Plants of French marigold variety are short while flowers are small in size compared to African marigold. Maharashtra, Karnataka, Gujarat, AP, Tamil Nadu and MP are major marigold cultivator in India. Dashera and Diwali are two festivals when demand for this crop is highest.|It can be grown on wide range of soil. But it grows best on well drained  fertile soil. Soil should be well drained as it cannot withstand in  water logged soil. pH of soil should be in range of 6.5 to 7.5. Acidic  and saline soil is not suitable for cultivation. French Marigold are  grow best in light soil whereas soil with rich manure is best for  African Marigold.
73| ROSE   ||Rose is one of the leading flowers in global floriculture. It is used in almost every event. Rose flowers are vary in size, shape and also available in various color (from white to red or multicolor). Rose is native to Asia but some rose species are native to Europe, America and Africa. Rose petals have several medicinal benefits; it is used for stress and depression relief also used to treat acne. Karnataka, Tamil Nadu, Maharashtra, Bihar, West Bengal, Uttar Pradesh, Gujarat, Haryana, Punjab, Jammu and Kashmir, Madhya Pradesh and Andhra Pradesh are major rose-growing states.
74|Now a day’s greenhouse farming is becoming more popular and rose farming in greenhouse is popular as it produces the high quality of flower as compared to open field cultivation.||
75| ||Soils rich in organic matter and well drained sandy loam soils are suitable for Rose cultivation. For good growth it requires pH of 6 to 7.5. It is sensitive to waterlogging so provide proper drainage and remove excess water.
76| TUBEROSE (RAJNIGANDHA)   |It is also known as “Rajnigandha”, Nishigandha” and “Sword Lilly”. It is a herbaceous perennial plant which has 75-100cm long flower stalk which bears 10-20 funnel shaped flowers having white color. Cut flowers are used for making bouquets because of its delightful appearance, good keeping quality and sweet fragrance. Loose flowers are used for making Garlands and Veni. They are suitable for growing in pots and beds and used for oil extraction.|Loamy and sandy soil having well drainage system is best for the tuberose cultivation. Soil having ph of 6.5-7.5 is ideal for tuberose growing.
77| TUBEROSE (RAJNIGANDHA)   ||
78| DREK   |Persian or Indian Lilac tree, in Punjabi known as Drek whereas in Sanskrit it is known as Mahanimba, Himarudra and in Hindi known as Bakayan tree. It is similar to Neem in appearance. It is widely found in Persia and in some parts of western Himalaya. It belongs to family of Meliaceae. This species is native of West Asia. This is deciduous tree and grows upto 45 m. Drek tree mainly use for timber (but it is of fair quality) beside its root, bark, fruits, seeds, flower and gum have medicinal property. Fresh also dried leaves and oil and ash of plant is used for curing coughs, bacterial infections, dysentery, burns, headache and cancer etc. It is short duration crop (lives upto 20 years) and it is not suitable in areas of having high wind.|It can be grown on variety of soil but for good growth, it required deep, fertile sandy loam soils.
79| EUCALYPTUS   |Eucalyptus belongs to family of Myrtaceae with 300 species of genus. It is a native of Australia and Tasmania. It is fast growing tree in world and attained great height (one of its species attained height of 480 feet). It is also known as gum tree, nilgiri tree or safeda. It is planted for fuel wood, poles, timber, and biomass and for essential oil purpose. Essential oil of Eucalyptus has special space in Ayurveda Treatment. Also it is good source of nectar for honey bees. Major eucalyptus growing states are Andhra Pradesh, Bihar, Goa, Gujarat, Punjab and Haryana, Madhya Pradesh, Maharashtra, Uttar Pradesh, Tamil Nadu, Kerala, West Bengal and Karnataka.|For good growth it required soil having good drainage capacity. It can grow in variety of soil but it give best result when grown on well drained, rich in organic content loamy soils. Water logged, heavy alkaline and saline soils are not suitable for eucalyptus cultivation.
